id,age,gender,annual_income,family_size,total_spent,average_spend,loyalty_rating,num_purchases,num_returns,is_churn,basket_size_multiplier,price_sensitivity,impulsivity
41,13,Male,50.188002907302426,6,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
42,35,Female,41.71281213804671,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
43,47,Male,13.345452873215727,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
44,47,Male,18.41037721273665,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
45,40,Male,163.94217405769407,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
46,35,Female,23.107662460947967,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
47,29,Male,7.27264498208776,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
48,42,Male,15.28868320792666,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
49,30,Male,26.4789610583867,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
50,39,Male,25.100500223656528,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
51,32,Male,22.0511825924885,5,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
52,34,Male,27.941254809101295,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
53,31,Female,71.4558330119202,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
54,47,Female,41.15508774035824,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
55,28,Female,160.06329041125576,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
56,60,Female,30.962590890550683,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
57,23,Female,47.898727391494305,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
58,38,Female,15.364194338884174,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
59,10,Male,55.958714067727605,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
60,41,Female,56.25973348238348,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
61,38,Female,18.88539775886354,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
62,38,Female,31.026006247481508,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
63,47,Female,15.09662110628181,7,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
64,48,Male,7.43987906551813,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
65,34,Male,12.393533341532242,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
66,37,Female,7.745589457646273,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
67,23,Male,28.619102082615946,8,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
68,45,Female,52.77274299604627,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
69,35,Female,15.798418704825409,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
70,29,Female,26.893132669406643,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
71,37,Male,54.501880445887096,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
72,20,Female,61.18932618153826,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
73,39,Female,71.62663258877099,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
74,42,Female,20.308194492557657,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
75,39,Male,27.051084880588913,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
76,52,Male,46.96841524262568,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
77,42,Male,68.80328481115436,7,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
78,28,Male,29.37625548637564,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
79,30,Female,23.7509084716572,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
80,34,Male,26.02648604813298,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
81,32,Female,22.597684983858578,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
82,42,Female,37.121140862120924,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
83,34,Male,61.40646864560413,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
84,42,Male,39.90445953160021,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
85,39,Male,17.56866171137358,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
86,17,Male,32.6297408981447,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
87,40,Female,17.457007832682834,5,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
88,28,Female,31.226491846015303,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
89,40,Female,32.69287449660765,5,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
90,32,Female,24.2203068739504,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
91,46,Female,57.534369417999685,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
92,46,Male,38.81332015014893,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
93,43,Male,38.21102972139382,5,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
94,52,Male,48.55605326517425,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
95,26,Female,30.67228552297821,8,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
96,50,Male,70.13668523620025,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
97,33,Female,59.58391203061437,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
98,26,Female,41.28516066135672,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
99,37,Female,14.98099399584877,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
100,32,Male,44.67278466392906,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
101,40,Female,38.640267272229174,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
102,30,Female,16.577340116646848,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
103,45,Female,16.74756616403246,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
104,31,Female,38.5225343232548,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
105,42,Male,39.87178350791054,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
106,48,Male,37.681485836687074,6,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
107,18,Female,24.589986339966476,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
108,36,Female,20.33957718242554,7,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
109,40,Male,22.229572619981738,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
110,26,Female,120.57931220291087,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
111,38,Male,35.65501991960605,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
112,42,Female,73.77392083584039,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
113,40,Female,28.964585944959875,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
114,16,Male,24.055632988696676,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
115,49,Male,24.158087861529722,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
116,37,Female,27.808976249159652,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
117,39,Male,23.068463626072717,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
118,49,Male,81.35320009634349,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
119,29,Male,28.045747629474487,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
120,27,Male,26.145082871024723,6,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
