id,Gender,Age,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Satisfaction,Last_Purchase_Days_Ago,Target_Churn,Email_Opt_In,Promotion_Response
138,Male,49,76.98,8952.31,6,94,14.88,3,4,352,1,1,Unsubscribed
139,Male,36,73.78,1892.31,7,62,108.7,1,3,27,0,0,Unsubscribed
14,Male,64,38.04,5524.28,12,4,259.81,5,2,212,1,0,Ignored
140,Male,38,65.91,7661.09,14,57,119.57,4,4,30,1,0,Unsubscribed
141,Female,22,155.1,707.32,6,2,494,8,5,140,0,0,Responded
142,Male,35,199.64,4681.34,19,17,30.41,5,4,231,0,0,Unsubscribed
143,Female,45,116.12,154.55,13,67,473.47,8,2,322,1,1,Unsubscribed
144,Female,59,189.96,8121.88,15,79,420.71,6,4,303,1,1,Unsubscribed
145,Female,39,91.39,9509.81,4,50,21.01,7,2,254,0,0,Unsubscribed
146,Male,38,39.2,447.56,10,25,77,5,3,236,1,0,Unsubscribed
147,Male,23,93.58,9345.08,6,70,318.22,0,2,49,1,0,Responded
148,Male,18,73.3,7761.15,2,22,181.89,4,5,120,0,0,Responded
149,Male,22,108.81,3652.73,2,9,177.27,3,5,231,1,1,Ignored
15,Female,42,176.08,6855.03,17,64,222.85,6,1,125,1,0,Ignored
150,Female,58,138.27,9097.88,1,73,351.27,8,4,52,0,1,Ignored
151,Male,29,102.99,3032.95,16,34,497.43,5,5,4,0,0,Ignored
152,Male,43,188.33,4152.02,11,70,173.03,6,1,338,1,1,Responded
153,Male,63,179.26,1057.44,13,97,462.29,5,4,319,1,1,Unsubscribed
154,Male,51,146.36,6603.7,14,1,366.94,5,1,5,0,0,Unsubscribed
155,Male,31,108.14,393.05,4,44,425.02,0,5,82,1,1,Unsubscribed
156,Female,43,43.7,4900.56,11,7,259.33,0,3,227,1,1,Ignored
157,Male,62,91.46,6863.6,10,15,271.31,7,3,196,0,0,Responded
158,Female,44,146.79,8230.25,6,38,277.77,7,5,50,0,1,Ignored
159,Male,26,71.28,1584.42,14,93,286.92,8,3,114,0,0,Ignored
16,Male,19,72.97,8076.45,9,63,466.61,5,3,304,0,0,Unsubscribed
160,Female,43,38.72,7565.49,9,81,80.78,2,3,148,1,1,Ignored
161,Male,64,183.42,7218.86,18,54,111.45,1,5,303,1,0,Unsubscribed
162,Male,39,147.63,5639.75,14,30,85.33,7,5,339,0,1,Unsubscribed
163,Female,64,130.75,5887.98,4,83,103.58,6,1,296,0,0,Unsubscribed
164,Female,47,162.65,1003.58,1,94,335.83,0,2,331,1,1,Ignored
165,Female,60,170.42,6044.66,15,4,111.19,0,1,126,1,0,Ignored
166,Male,34,107.02,3877.07,15,75,440.41,6,4,222,1,1,Responded
167,Female,43,178.61,8689.05,7,42,68.54,5,4,201,0,1,Unsubscribed
168,Male,53,184.96,3199.68,16,40,494.48,5,3,127,1,1,Ignored
169,Male,18,68.88,5808.29,6,97,10.7,7,4,99,1,0,Responded
17,Female,27,98.36,6747.13,10,9,414.8,7,2,274,1,1,Responded
170,Female,25,129.36,4323.06,1,33,423.5,0,3,188,1,1,Ignored
171,Female,52,114.79,8774.99,8,29,10.98,0,5,214,0,1,Ignored
172,Male,32,116.83,2613.78,8,15,394.88,5,2,239,1,1,Ignored
173,Male,64,188.78,880.14,18,96,366.55,5,5,6,0,0,Responded
174,Female,39,74.93,7511.69,1,99,350.32,1,5,69,0,1,Responded
175,Female,31,197.02,4187.68,16,63,181.93,5,5,37,0,0,Responded
176,Female,43,182.38,5932.07,12,62,317.27,1,3,125,1,1,Unsubscribed
177,Male,45,102.57,361.25,12,68,303.71,5,3,40,0,0,Responded
178,Male,40,167.14,9525.89,19,14,372.37,9,2,119,0,0,Unsubscribed
179,Male,31,158.43,8788.42,12,19,357.91,7,5,86,1,1,Ignored
18,Female,47,163.18,4281.83,3,29,294.39,7,3,197,0,1,Unsubscribed
180,Male,41,142.02,6276.29,7,82,131.63,4,2,250,1,0,Unsubscribed
181,Male,19,77.57,268.6,8,62,357.7,7,3,165,1,1,Responded
182,Male,62,55.36,3841.97,4,35,163.11,2,5,175,0,1,Unsubscribed
183,Female,43,140.87,9790.09,6,99,198.9,0,2,205,1,0,Responded
184,Male,31,171.74,6845.17,18,84,151.01,3,4,206,1,1,Ignored
185,Male,24,22.93,1693.78,1,69,372.21,8,5,196,1,0,Responded
186,Male,20,135.7,4659.91,12,76,418.99,2,4,174,0,1,Responded
187,Female,64,99.72,9670.7,2,22,131.84,2,4,41,0,0,Unsubscribed
188,Male,40,181.66,5393.61,19,4,261.9,0,1,106,0,0,Responded
189,Male,63,77.87,343.68,15,35,355.75,3,5,185,0,1,Responded
19,Female,62,141.95,1335.48,15,14,173.58,7,4,4,0,0,Responded
190,Female,60,105.35,6235.74,19,84,414.02,0,2,287,1,1,Unsubscribed
191,Male,64,112.66,2785.04,10,91,366.36,7,2,338,1,1,Unsubscribed
192,Male,62,45.28,1078.57,7,73,58.6,3,2,348,0,1,Responded
193,Male,35,148.32,4088.79,5,79,345.2,7,4,324,0,1,Responded
194,Male,55,169.49,5629.38,12,36,453.65,1,5,283,0,1,Unsubscribed
195,Male,52,30.42,268.7,18,77,226.57,5,1,43,0,1,Ignored
196,Female,32,72.45,5634.56,1,82,373.88,5,3,204,0,0,Unsubscribed
197,Female,42,26.85,5160.91,12,88,481.34,7,1,122,0,0,Unsubscribed
198,Female,54,192.18,7959.69,19,82,350.04,0,2,148,0,0,Responded
199,Male,45,140.09,4293.14,9,97,151.97,3,1,342,0,1,Unsubscribed
2,Female,26,79.51,9025.47,13,77,22.9,2,3,227,0,0,Responded
20,Male,22,188.82,5844.46,11,88,378.05,8,5,57,1,1,Unsubscribed
200,Male,27,193.56,5579.16,3,50,231.52,3,4,101,0,0,Unsubscribed
201,Male,56,115.67,7445.89,19,12,239.67,6,2,53,1,1,Ignored
202,Female,34,164.37,8981.74,7,67,426.03,0,1,234,0,1,Responded
203,Male,56,87.39,3862.34,15,23,484.45,1,1,242,1,0,Responded
204,Male,39,83.69,6056.17,12,69,300.67,7,3,237,0,1,Ignored
205,Female,43,88.09,6976.65,2,42,47.69,6,2,232,0,1,Unsubscribed
206,Male,61,138.42,528.38,14,43,475.28,8,3,110,0,0,Ignored
207,Female,42,84.7,8027.53,14,16,497.07,7,2,222,0,1,Unsubscribed
208,Female,34,182.07,3836.56,2,60,203.83,2,3,338,1,0,Unsubscribed
209,Female,30,196.99,6735.37,11,61,414.66,6,1,14,0,1,Ignored
21,Female,50,131.81,8984.59,5,72,298.9,1,2,323,1,1,Responded
210,Male,37,25.48,4769.47,14,82,222.6,1,4,191,0,0,Responded
211,Male,42,54.85,7053.16,15,78,350.78,8,3,322,0,1,Responded
212,Male,21,40.2,7270.88,1,96,30.52,4,2,119,0,1,Unsubscribed
213,Male,27,27.63,1996.55,12,4,446.44,9,5,278,1,1,Responded
214,Male,20,60.99,6655.52,8,46,31.95,5,5,76,0,1,Ignored
215,Male,58,100.42,8528.1,4,26,117.83,8,3,341,0,1,Ignored
216,Male,62,170.66,2432.12,15,52,288.2,2,1,202,0,0,Ignored
217,Female,35,59.93,7606.02,1,29,442.5,9,3,268,0,0,Ignored
218,Male,64,108.91,6374.87,9,83,143.52,1,4,136,1,1,Ignored
219,Female,53,187.33,9555.75,4,96,53.77,3,2,157,1,0,Responded
22,Male,18,37.61,4247.04,10,13,89.61,0,1,199,0,0,Responded
220,Male,64,140.1,2676.44,12,24,406.69,1,5,144,0,0,Unsubscribed
221,Male,39,163.65,1627.35,2,11,186.06,3,2,358,1,0,Ignored
222,Male,51,119.18,3190,7,14,374.37,8,2,348,1,1,Unsubscribed
223,Female,64,196.48,2653.79,15,78,104.27,8,3,150,1,0,Unsubscribed
224,Female,25,125.96,7592.64,5,14,124.1,7,1,282,1,1,Ignored
225,Female,57,28.19,7357.78,11,84,183.49,9,2,217,0,1,Unsubscribed
226,Female,61,55.64,6729.88,4,66,394.48,4,1,202,1,0,Responded
227,Male,36,92.86,2242.15,16,4,469.79,7,4,74,0,0,Unsubscribed
228,Female,59,128.23,8631.89,7,13,395.73,1,4,252,1,1,Unsubscribed
229,Male,58,158.95,9570.06,12,9,13.81,3,1,130,0,0,Ignored
23,Female,35,179.18,9116.18,14,3,162.9,8,2,193,1,1,Responded
230,Male,54,94.36,5362.9,3,11,406.14,0,3,349,0,0,Responded
231,Female,23,147.81,6528.79,4,7,321.85,0,3,121,0,1,Ignored
232,Female,43,162.18,5056.85,18,53,401.28,3,3,232,0,0,Ignored
233,Female,51,77.11,2907.22,11,32,290.44,8,5,293,1,1,Responded
234,Female,62,196.27,2932.86,1,44,24.04,3,4,221,1,0,Ignored
235,Female,23,136.94,3202.86,7,96,403.53,1,4,44,0,1,Unsubscribed
236,Female,54,178.58,1989.42,2,22,47.42,4,2,196,1,0,Responded
237,Female,50,120.07,9029.04,15,14,180.64,9,1,10,1,0,Responded
238,Female,39,153.49,8598.14,4,72,274.89,6,5,164,1,1,Ignored
239,Male,38,158.7,4670.23,18,46,150.08,6,5,7,0,0,Responded
24,Female,49,158.45,5084.93,12,78,288.48,2,2,323,1,0,Unsubscribed
240,Female,23,183.48,3735.79,8,29,382.26,6,2,231,1,0,Ignored
241,Female,23,47.06,9396.88,15,83,487.32,1,1,82,1,0,Unsubscribed
242,Male,21,120.49,2301.5,12,30,236.66,1,3,86,1,1,Ignored
243,Female,47,97.11,5580.07,14,62,476.85,8,2,126,0,0,Ignored
244,Male,28,186.17,639.53,1,27,459.35,7,3,204,1,1,Responded
245,Male,47,38.92,1992.9,1,51,410.95,0,3,297,1,1,Responded
246,Female,48,196.86,6079.87,19,16,366.16,6,3,264,0,1,Ignored
247,Male,41,177.58,6655.62,18,47,19.81,6,3,28,1,1,Unsubscribed
248,Male,26,33.29,5851.86,10,66,451.79,3,4,298,0,1,Ignored
249,Male,20,108.37,8709.05,6,52,290.57,3,2,320,1,1,Unsubscribed
25,Female,64,148.14,6246.33,9,24,352.98,7,4,119,1,1,Unsubscribed
250,Male,48,149.16,9934.71,13,26,74.47,8,5,347,0,1,Ignored
251,Female,57,152.87,7662.23,18,19,348.79,2,1,203,1,1,Responded
252,Male,54,183.17,4704.41,4,40,143.23,8,4,229,1,1,Unsubscribed
253,Female,53,163.98,8355.95,4,49,348.95,1,2,294,0,0,Ignored
254,Male,41,75.97,1291.84,3,46,49.41,3,3,97,1,0,Unsubscribed
255,Male,48,109.72,6864.38,6,23,487.78,4,4,6,1,1,Unsubscribed
256,Male,23,146.32,5231.54,7,28,42.6,4,1,253,0,1,Ignored
257,Male,19,44.92,1862.85,9,76,435.18,3,3,314,0,0,Unsubscribed
258,Female,37,54.92,9732.04,1,45,164.79,3,2,202,1,1,Ignored
259,Female,45,106.59,3450.53,13,39,153.62,3,4,347,1,1,Ignored
26,Female,28,29.67,8346.59,6,60,167.05,5,1,35,0,1,Unsubscribed
260,Male,28,73.68,6192.69,7,1,203.54,4,3,44,1,1,Unsubscribed
261,Male,21,175.26,8798.08,8,10,388.55,7,4,295,0,0,Ignored
262,Female,32,125.53,5116.22,10,23,107.88,9,3,89,1,1,Responded
263,Male,23,82.76,1239.86,7,70,229.07,3,3,133,1,0,Unsubscribed
264,Male,47,172.79,8205.52,6,24,249.51,2,3,75,0,1,Responded
265,Male,55,164.88,3596.82,5,71,454.69,1,4,218,1,0,Responded
266,Female,19,199.7,9832.36,8,87,281.88,2,5,125,0,0,Responded
267,Female,32,172.52,8849.87,16,88,322.94,3,1,310,1,0,Responded
268,Female,28,94.6,8549.15,4,66,448.1,9,4,176,0,0,Responded
269,Male,25,42.95,3626.91,8,56,173.34,2,2,28,0,0,Responded
27,Female,38,91.32,5689.51,9,74,456.01,2,2,352,1,1,Unsubscribed
270,Male,43,171.32,7595.58,9,56,45.4,6,1,90,0,0,Ignored
271,Female,62,30.76,9864.66,19,27,396.37,5,1,28,1,0,Ignored
272,Female,61,83.05,5310.58,15,32,381.78,7,3,131,1,0,Unsubscribed
273,Female,22,185.55,4760.25,8,20,168.91,6,2,319,0,1,Responded
274,Female,23,192.94,245.19,3,62,474.5,7,4,364,1,0,Ignored
275,Male,43,135.3,7032.02,3,26,418.51,1,3,2,0,0,Responded
276,Female,21,143.96,8598.93,17,72,11.38,9,2,265,0,0,Unsubscribed
277,Male,36,27.64,2549.83,14,12,61.78,2,2,360,0,1,Ignored
278,Female,37,112.61,3218.74,14,58,237.63,3,1,57,1,1,Ignored
279,Male,50,118.44,5056.7,2,56,456.05,8,2,311,0,1,Ignored
28,Female,43,50.14,1000.6,3,80,210.02,8,1,317,0,0,Unsubscribed
280,Female,37,81.22,813.59,14,18,96.37,1,5,61,1,0,Responded
281,Female,29,32.35,987.46,11,55,337.79,7,2,314,1,0,Responded
282,Female,64,61.2,4269,14,1,435.33,2,5,22,1,0,Ignored
283,Female,18,84.44,2686.07,7,12,465.64,2,3,130,0,0,Responded
284,Male,43,98.33,4119.77,19,37,331.47,7,4,62,1,0,Unsubscribed
285,Female,31,126.37,4598.42,8,78,182.89,8,4,5,1,1,Ignored
286,Male,55,150.03,9765.11,14,9,188.27,0,5,274,1,1,Ignored
287,Male,54,77.17,9448.17,4,64,383.5,3,1,132,1,1,Responded
288,Male,28,79.21,1483.33,11,11,436.71,9,4,287,0,1,Responded
289,Male,53,23.54,8837.6,4,90,481.32,6,2,173,0,1,Unsubscribed
29,Female,42,167.94,9811.7,13,12,83.09,9,5,128,1,0,Ignored
290,Female,30,27.36,894.05,6,10,382.03,6,4,307,0,1,Ignored
291,Male,60,66.41,5125.59,6,85,283.81,7,3,88,1,1,Unsubscribed
292,Male,20,153.24,1722.71,2,5,457.4,4,2,81,1,0,Unsubscribed
293,Male,50,133.1,3722.33,19,60,471.97,9,3,128,1,1,Ignored
294,Female,23,158.56,7459.07,1,40,239.12,4,4,346,0,1,Unsubscribed
295,Female,27,158.41,4302.6,13,81,474.71,3,1,92,1,1,Ignored
296,Female,22,174.18,8088.82,14,83,305.59,8,2,16,0,1,Responded
297,Female,40,149.66,7216.28,3,79,210.42,7,3,25,0,0,Ignored
298,Male,27,196.22,9434.11,19,88,442.58,9,5,258,1,0,Responded
299,Male,61,181.79,5388.14,17,53,215.65,2,3,181,1,1,Responded
3,Male,50,29.19,618.83,13,71,50.53,5,2,283,1,0,Responded
30,Female,39,146.1,2533.91,7,10,114.05,6,1,31,0,0,Unsubscribed
300,Female,19,125.61,8041.26,4,49,186.57,8,5,267,1,1,Responded
301,Male,30,125.87,3296.78,13,31,411.17,9,5,330,0,0,Unsubscribed
302,Male,57,26.17,3522.88,9,4,487.78,1,1,330,0,1,Unsubscribed
303,Male,19,199.73,4065.05,4,11,334.83,2,5,130,0,1,Responded
304,Female,37,43.68,4168.07,10,33,168.63,5,2,75,0,1,Unsubscribed
305,Female,18,153.26,1122.21,13,22,419.47,3,4,42,0,1,Unsubscribed
306,Male,54,167.78,5239.08,18,42,457.81,1,3,107,1,1,Ignored
307,Female,26,87.15,1058.35,12,98,83.04,6,2,30,1,1,Ignored
308,Female,34,55.43,8908.65,16,19,161.62,1,5,77,1,1,Responded
309,Female,26,37.78,712.26,1,98,312.37,8,2,193,0,0,Ignored
31,Male,44,178.95,7134,17,63,107.41,7,4,274,1,0,Ignored
310,Female,28,154.75,4551.97,14,52,172.97,5,2,350,1,0,Responded
311,Female,32,101.48,2918.47,7,77,312.85,9,1,67,0,0,Unsubscribed
312,Male,41,148.47,1633.21,5,64,415.34,3,5,70,1,0,Unsubscribed
313,Female,55,184.77,7859.98,2,53,77.86,3,2,17,0,0,Responded
314,Male,52,46.39,7177.83,4,67,315.85,7,3,15,1,1,Unsubscribed
315,Male,47,185.45,1544.88,10,90,335.05,6,1,11,0,0,Ignored
316,Female,48,94.09,6364.38,15,95,438.16,4,2,133,1,0,Ignored
317,Male,22,74.95,7946.3,19,52,359.32,5,3,7,0,1,Responded
318,Male,61,189.75,7755.99,15,93,396.61,5,3,109,1,1,Ignored
319,Male,31,198.32,1013.57,19,42,91.1,2,5,152,0,1,Ignored
32,Male,30,193.98,5100.62,18,66,124.56,5,1,325,1,1,Responded
320,Female,28,55.8,6886.58,10,18,74.91,3,2,86,1,0,Unsubscribed
321,Female,26,138.23,7188.64,3,15,453.21,8,5,261,1,1,Responded
322,Male,51,39.17,8635.45,11,60,91.1,5,3,56,1,1,Responded
323,Female,29,137.16,5129.64,18,61,191.48,9,2,105,0,0,Unsubscribed
324,Female,52,168.92,4664.83,2,14,397.18,3,5,258,1,1,Responded
325,Female,52,143.21,9654.65,18,98,39.62,4,5,206,0,0,Unsubscribed
326,Female,18,95.12,7985.47,15,23,264.81,9,4,172,1,0,Responded
327,Male,57,88.95,5631.44,16,62,277.49,6,1,42,1,1,Responded
328,Male,39,90.76,3373.11,19,89,11.99,2,3,351,0,1,Responded
329,Female,46,126.15,8467.86,19,31,202.64,8,3,105,1,1,Unsubscribed
33,Female,50,159.45,4839.85,4,91,198,1,1,193,1,0,Ignored
330,Female,25,178.68,4608.82,12,11,454.51,5,5,78,1,1,Unsubscribed
331,Male,28,187.23,1017.58,6,4,218.86,5,3,348,0,0,Unsubscribed
332,Male,58,29.64,4603.55,12,32,457.61,8,3,40,0,1,Ignored
333,Female,54,52.69,8732.49,7,33,164.72,9,2,263,0,0,Responded
334,Male,31,40.2,4537.99,10,14,257.61,9,4,297,1,1,Ignored
335,Female,47,54.8,242.06,12,50,423.09,8,2,18,0,1,Ignored
336,Female,52,82.39,6153.7,16,40,490.91,7,2,131,1,0,Responded
337,Male,38,111.18,9958.72,13,1,382,1,3,107,1,1,Unsubscribed
338,Male,54,133.3,8190.76,13,25,178.39,9,3,196,1,0,Responded
339,Female,22,151.79,6210.66,14,85,163.83,6,3,253,0,0,Ignored
34,Female,51,198.96,2515.01,5,12,237.82,5,5,253,1,1,Unsubscribed
340,Female,36,180.22,9152.55,6,44,37.97,8,2,126,1,1,Unsubscribed
341,Male,31,198.04,8154.46,19,91,109.43,7,2,43,0,0,Responded
342,Female,43,139.31,5036.53,10,92,382.27,8,4,217,1,0,Responded
343,Male,21,172.17,5953.08,9,88,213.27,5,5,125,0,0,Responded
344,Female,42,160.05,7339.8,9,91,86.7,7,2,334,0,0,Responded
345,Male,62,75.36,8479.62,9,74,155.82,0,3,4,1,0,Unsubscribed
346,Male,59,177.62,675.95,1,98,298.51,8,2,83,0,1,Unsubscribed
347,Male,42,27.7,7770.56,1,91,478.73,8,1,342,0,1,Unsubscribed
348,Female,35,20.07,4530.28,13,42,480.12,3,2,232,1,0,Unsubscribed
349,Female,57,69.27,6641.91,19,32,65.88,2,2,102,1,1,Unsubscribed
35,Female,58,130.66,7249.29,11,96,275.72,4,5,196,1,0,Responded
350,Male,25,103.18,7669.87,16,41,125.77,5,1,188,0,1,Unsubscribed
351,Female,56,134.91,5441.07,13,96,303.47,7,4,280,1,1,Ignored
352,Male,57,38.32,1669.3,18,9,456.91,7,2,335,0,1,Ignored
353,Male,31,141.14,4154.32,10,50,490.93,6,1,82,0,0,Unsubscribed
354,Female,49,164.33,861.04,14,37,366.29,0,1,89,0,1,Unsubscribed
355,Female,55,53.36,6924.08,3,82,211.7,3,1,355,1,1,Unsubscribed
356,Male,50,94.72,9541.69,1,95,437.67,2,4,15,1,1,Ignored
357,Female,40,113.6,7973,10,2,215.47,9,1,133,0,1,Unsubscribed
358,Female,32,101.33,3958.89,7,59,336.76,4,5,121,1,1,Unsubscribed
359,Male,50,163.97,5884.49,4,30,249.92,5,3,31,1,1,Ignored
36,Male,52,26.68,1216.6,18,49,469.63,2,3,188,1,0,Unsubscribed
360,Male,42,192.89,3111.59,7,81,391.94,9,5,93,1,1,Unsubscribed
361,Female,34,163.81,5456.35,2,85,370.44,1,2,182,1,1,Responded
362,Male,50,34.04,3077.2,2,9,201.44,9,4,227,1,0,Ignored
363,Male,64,164.89,7409.42,6,37,59.4,1,4,338,0,0,Ignored
364,Female,19,31.99,2667.48,2,94,476.37,0,4,290,1,0,Ignored
365,Male,31,62.47,9643.8,2,60,460.12,4,2,35,0,1,Ignored
366,Male,57,47.56,6653.29,4,16,99.12,4,1,186,1,0,Ignored
367,Female,57,55.55,780.9,6,14,109.62,0,2,150,0,0,Ignored
368,Female,56,115.1,206.7,19,26,395.98,2,1,82,0,0,Ignored
369,Male,23,140.9,9970.76,2,81,395.51,3,1,15,0,0,Ignored
37,Female,18,22.57,9905.49,19,59,289.28,2,1,102,1,0,Responded
370,Male,23,104.66,2283.01,4,51,483.09,0,5,353,0,1,Ignored
371,Female,20,192.75,3194.37,14,12,498.82,8,1,236,1,0,Unsubscribed
372,Female,24,63.25,2163.3,3,47,254.2,2,2,25,1,1,Responded
373,Female,25,157.37,9288.21,16,3,480.58,8,1,353,0,1,Responded
374,Female,59,176.63,6554.93,12,34,409.83,8,2,256,1,1,Responded
375,Male,32,121.17,5093.42,2,93,380.62,5,4,255,0,1,Unsubscribed
376,Female,64,102.12,5620.74,10,91,189.32,9,5,261,0,1,Responded
377,Female,46,127.31,3246.94,10,42,426.69,2,1,257,0,0,Ignored
378,Male,50,97.19,6180.33,12,2,460.36,6,4,81,1,1,Unsubscribed
379,Female,47,119.93,4254.04,17,27,369.66,0,4,291,0,0,Unsubscribed
38,Male,38,81.58,8469.2,5,76,98.03,2,2,216,0,1,Ignored
380,Male,56,95.05,2072.36,10,73,326.78,4,2,338,1,1,Ignored
381,Female,44,92.08,6600.39,1,84,323.8,6,4,100,1,0,Unsubscribed
382,Female,53,145.16,3801.02,5,28,86.28,5,4,122,1,1,Ignored
383,Female,46,36.71,7872.16,12,23,117.76,7,1,73,0,0,Ignored
384,Male,55,49.98,4212.41,4,90,122.18,6,3,94,0,0,Unsubscribed
385,Male,50,173.22,5131.89,13,89,89.71,8,1,28,1,0,Unsubscribed
386,Female,54,158.79,7895.92,3,85,244.22,1,3,74,1,0,Ignored
387,Male,44,70.66,4533.99,1,37,42.79,0,4,182,1,1,Responded
388,Male,50,87.91,9665.59,5,25,150.84,9,3,166,1,1,Ignored
389,Male,21,186.68,7950.98,11,31,405.64,8,4,182,1,0,Ignored
39,Male,23,168.22,5391.64,16,2,233.12,6,5,260,0,1,Unsubscribed
390,Male,39,167.25,8281.66,4,13,463.17,4,1,53,1,0,Ignored
391,Male,19,130.58,9543.81,12,53,434.05,4,2,150,0,0,Unsubscribed
392,Male,27,59.87,3949.62,10,57,165.41,5,3,150,0,1,Responded
393,Female,22,27.97,5842.79,6,93,269.36,4,5,173,0,0,Unsubscribed
394,Female,27,97.63,6966.56,2,69,467.5,1,2,300,1,1,Responded
395,Male,50,141.07,6767.24,4,66,287.67,3,3,164,1,1,Responded
396,Female,55,169.13,9534.07,11,70,135.06,5,4,361,1,1,Unsubscribed
397,Female,30,173.48,2954.65,17,45,345.45,3,4,29,1,0,Responded
398,Female,48,25.9,2984.48,2,86,320.2,7,4,89,1,0,Unsubscribed
399,Female,64,63.95,9188.24,4,25,50.02,8,4,133,1,1,Responded
4,Male,37,79.63,9110.3,3,33,411.83,5,5,226,1,1,Ignored
40,Male,45,175.9,4303.07,18,73,92.72,1,5,360,0,1,Responded
400,Male,53,81.04,8013.13,14,9,387.38,9,4,66,0,1,Ignored
401,Female,62,53.97,2113.23,5,31,54.19,1,1,282,1,1,Unsubscribed
402,Female,41,164.54,5743.46,9,33,317.99,1,3,25,1,0,Ignored
403,Male,32,158.14,7483.06,6,86,348.35,2,2,165,1,1,Ignored
404,Male,46,113.03,3595.06,11,68,300.67,2,3,339,0,0,Unsubscribed
405,Female,25,196.93,4400.38,1,58,192.9,7,3,299,0,1,Unsubscribed
406,Female,22,45.93,5796.43,4,85,306.82,9,1,16,1,0,Unsubscribed
407,Female,46,181.94,4724.37,9,82,280.77,5,1,41,0,0,Unsubscribed
408,Female,64,40.96,7555.12,14,18,301.65,6,4,360,1,1,Unsubscribed
409,Female,21,49.37,158.79,1,76,406.78,0,4,1,0,1,Unsubscribed
41,Male,34,192.95,2936,14,26,456.43,3,4,263,0,1,Unsubscribed
410,Female,29,145.32,4402.86,11,19,414.73,8,3,141,0,0,Responded
