Transaction ID,Date,id,Gender_x,Age_x,Product Category,Quantity,Price per Unit,Total Amount,Age_y,Gender_y,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Promotion_Response,Target_Churn,_merge
38,3/21/2023,38,Male,38,Beauty,4,50,200,53,Female,81.58,8469.2,5,76,98.03,2,0,2,216,TRUE,Ignored,FALSE,both
39,4/21/2023,39,Male,23,Clothing,4,30,120,42,Other,168.22,5391.64,16,2,233.12,6,1,5,260,TRUE,Unsubscribed,FALSE,both
40,6/22/2023,40,Male,45,Beauty,1,50,50,67,Male,175.9,4303.07,18,73,92.72,1,2,5,360,TRUE,Responded,FALSE,both
41,2/22/2023,41,Male,34,Clothing,2,25,50,69,Female,192.95,2936,14,26,456.43,3,3,4,263,TRUE,Unsubscribed,FALSE,both
42,2/17/2023,42,Male,22,Clothing,3,300,900,47,Female,31.72,5065.76,17,31,92.5,9,0,1,202,TRUE,Responded,TRUE,both
43,7/14/2023,43,Female,48,Clothing,1,300,300,37,Female,28.02,8806.23,9,34,309.17,6,1,1,273,FALSE,Responded,FALSE,both
44,2/19/2023,44,Female,22,Clothing,1,25,25,37,Male,184.39,2822.56,14,88,293.2,7,0,1,121,FALSE,Ignored,TRUE,both
45,7/3/2023,45,Female,55,Electronics,1,30,30,32,Male,74.91,5055.32,12,21,315.34,8,2,4,276,FALSE,Unsubscribed,TRUE,both
46,6/26/2023,46,Female,20,Electronics,4,300,1200,57,Other,120.44,2422.04,3,50,38.72,3,4,2,84,FALSE,Ignored,TRUE,both
47,11/6/2023,47,Female,40,Beauty,3,500,1500,50,Female,196.84,3437.78,18,9,151.77,1,0,2,277,TRUE,Responded,FALSE,both
48,5/16/2023,48,Male,54,Electronics,3,300,900,19,Other,92.08,1983.58,7,65,183.3,8,1,2,234,FALSE,Responded,FALSE,both
49,1/23/2023,49,Female,54,Electronics,2,500,1000,27,Other,139.86,9906.34,3,35,462.35,3,2,3,322,TRUE,Responded,TRUE,both
50,8/24/2023,50,Female,27,Beauty,3,25,75,50,Female,92.16,5757.82,12,31,308.21,7,2,4,287,FALSE,Unsubscribed,TRUE,both
51,10/2/2023,51,Male,27,Beauty,3,25,75,49,Female,158.28,7354.87,15,85,405.83,5,2,4,352,TRUE,Responded,FALSE,both
52,3/5/2023,52,Female,36,Beauty,1,300,300,28,Other,114.99,1072.67,9,38,253.05,4,4,3,168,FALSE,Ignored,TRUE,both
53,7/13/2023,53,Male,34,Electronics,2,50,100,41,Male,62.75,3724.56,18,23,204.68,6,4,1,86,TRUE,Ignored,FALSE,both
54,2/10/2023,54,Female,38,Electronics,3,500,1500,53,Other,68.84,8937.13,8,62,246.96,4,1,2,110,FALSE,Unsubscribed,TRUE,both
55,10/10/2023,55,Male,31,Beauty,4,30,120,29,Male,66.45,935.94,10,43,395.71,3,2,5,37,FALSE,Responded,FALSE,both
56,5/31/2023,56,Female,26,Clothing,3,300,900,68,Male,115.82,1738.28,12,49,54.59,5,3,2,130,TRUE,Responded,FALSE,both
57,11/18/2023,57,Female,63,Beauty,1,30,30,46,Other,146.57,6291.63,5,87,477.3,7,2,4,4,TRUE,Responded,TRUE,both
58,11/13/2023,58,Male,18,Clothing,4,300,1200,52,Female,190.87,6265.61,11,21,305.74,2,1,3,171,TRUE,Ignored,FALSE,both
59,7/5/2023,59,Male,62,Clothing,1,50,50,18,Other,144.94,8398.45,3,44,101.25,8,2,3,21,FALSE,Unsubscribed,FALSE,both
60,10/23/2023,60,Male,30,Beauty,3,50,150,18,Other,160.61,9361.38,8,8,31.44,5,2,4,108,FALSE,Ignored,TRUE,both
61,4/9/2023,61,Male,21,Beauty,4,50,200,54,Male,50.41,1505.67,8,66,72.76,7,3,4,86,TRUE,Responded,TRUE,both
62,12/27/2023,62,Male,18,Beauty,2,50,100,23,Other,87.33,2667.8,1,46,62.48,3,1,3,209,TRUE,Unsubscribed,FALSE,both
63,2/5/2023,63,Male,57,Electronics,2,25,50,56,Female,94.48,4331.87,5,31,207.3,9,2,4,251,FALSE,Ignored,FALSE,both
64,1/24/2023,64,Male,49,Clothing,4,25,100,58,Other,143.55,108.94,11,13,349.08,0,4,2,65,TRUE,Responded,FALSE,both
65,12/5/2023,65,Male,51,Electronics,4,500,2000,35,Other,73.26,791.16,9,70,132.59,2,0,3,137,TRUE,Unsubscribed,FALSE,both
66,4/27/2023,66,Female,45,Electronics,1,30,30,33,Male,74.59,2342.26,13,57,198.67,8,3,3,105,TRUE,Ignored,FALSE,both
67,5/29/2023,67,Female,48,Beauty,4,300,1200,22,Female,84.06,4862.91,7,22,286.46,5,3,5,261,TRUE,Responded,TRUE,both
68,2/10/2023,68,Male,25,Electronics,1,300,300,59,Female,165.85,2590.08,3,70,408.6,1,1,2,4,FALSE,Unsubscribed,TRUE,both
69,4/30/2023,69,Female,56,Beauty,3,25,75,60,Male,123.97,8779.15,12,17,307.76,6,4,2,323,FALSE,Ignored,TRUE,both
70,2/21/2023,70,Female,43,Clothing,1,300,300,49,Female,33.55,3310.3,13,44,100.75,8,4,1,259,FALSE,Responded,FALSE,both
71,7/14/2023,71,Female,51,Beauty,4,25,100,19,Female,34.08,9253.77,16,24,129.65,1,4,5,262,FALSE,Unsubscribed,FALSE,both
72,5/23/2023,72,Female,20,Electronics,4,500,2000,19,Other,86.83,9750.39,9,41,191.99,3,1,4,307,FALSE,Responded,TRUE,both
73,8/21/2023,73,Male,29,Electronics,3,30,90,57,Male,157.99,4553.63,9,38,248.66,7,1,3,182,TRUE,Responded,TRUE,both
74,11/22/2023,74,Female,18,Beauty,4,500,2000,59,Female,143.96,2348.58,14,49,443.26,0,1,5,42,FALSE,Unsubscribed,FALSE,both
75,7/6/2023,75,Male,61,Beauty,4,50,200,53,Male,147.44,2987.49,1,40,130.87,2,2,1,138,FALSE,Responded,FALSE,both
76,3/25/2023,76,Female,22,Electronics,2,50,100,56,Other,158.1,7785.7,1,39,464.56,0,2,1,267,FALSE,Unsubscribed,TRUE,both
77,7/9/2023,77,Female,47,Clothing,2,50,100,29,Female,71.69,2806.16,16,44,388.99,5,3,2,284,FALSE,Unsubscribed,TRUE,both
78,7/1/2023,78,Female,47,Clothing,3,500,1500,64,Male,118.69,3867.77,18,49,166.56,4,3,3,104,TRUE,Unsubscribed,TRUE,both
79,4/18/2023,79,Male,34,Beauty,1,300,300,36,Female,117.8,4837.9,13,1,483.73,5,0,1,162,TRUE,Ignored,FALSE,both
80,12/10/2023,80,Female,64,Clothing,2,30,60,45,Male,153.13,5793.6,17,10,190.7,6,0,4,85,TRUE,Responded,FALSE,both
81,5/17/2023,81,Male,40,Electronics,1,50,50,18,Other,192.24,9961.39,12,16,342.92,7,3,2,8,TRUE,Responded,TRUE,both
82,12/26/2023,82,Female,32,Beauty,4,50,200,32,Other,70.04,2398.88,16,53,468.91,0,0,5,219,TRUE,Responded,FALSE,both
83,12/16/2023,83,Male,54,Electronics,2,50,100,53,Female,162.79,3598.89,1,54,396.71,7,2,3,87,FALSE,Unsubscribed,TRUE,both
84,11/28/2023,84,Female,38,Electronics,3,30,90,30,Female,138.79,2702.62,15,5,444.39,7,3,2,8,TRUE,Unsubscribed,TRUE,both
85,2/6/2023,85,Male,31,Clothing,3,50,150,60,Male,124.44,3675.02,5,29,89.22,4,1,5,112,FALSE,Unsubscribed,TRUE,both
86,11/8/2023,86,Male,19,Beauty,3,30,90,38,Female,159.48,1097.96,19,36,325.33,8,4,1,227,TRUE,Ignored,TRUE,both
87,11/22/2023,87,Female,28,Beauty,2,50,100,29,Other,189.93,3662.12,18,21,49.15,8,1,1,303,FALSE,Ignored,TRUE,both
88,3/29/2023,88,Male,56,Clothing,1,500,500,22,Other,26.6,8889.86,9,7,490.18,4,0,2,240,FALSE,Responded,FALSE,both
89,10/1/2023,89,Female,55,Electronics,4,500,2000,24,Other,46.53,3056.04,5,42,352.16,3,1,1,111,FALSE,Responded,TRUE,both
90,5/6/2023,90,Female,51,Electronics,1,30,30,22,Female,156.13,3782.15,11,32,61.07,3,3,2,269,TRUE,Unsubscribed,FALSE,both
91,3/25/2023,91,Female,55,Electronics,1,500,500,65,Male,35.08,9450.29,2,90,398.57,1,3,4,276,TRUE,Responded,FALSE,both
92,8/25/2023,92,Female,51,Electronics,4,30,120,21,Other,112.9,7310.95,2,81,236.53,9,0,1,340,TRUE,Unsubscribed,FALSE,both
93,7/14/2023,93,Female,35,Beauty,4,500,2000,30,Other,59.57,5215.71,15,69,48.96,6,3,3,23,TRUE,Responded,TRUE,both
94,5/19/2023,94,Female,47,Beauty,2,500,1000,54,Female,69.37,7794.21,19,14,404.14,2,1,1,335,TRUE,Unsubscribed,FALSE,both
95,11/24/2023,95,Female,32,Clothing,2,30,60,58,Female,146.33,1319.48,4,34,27.27,4,4,3,325,FALSE,Responded,TRUE,both
96,12/19/2023,96,Female,44,Clothing,2,300,600,32,Female,25.43,4698.45,17,18,399.71,6,0,2,207,FALSE,Ignored,TRUE,both
97,10/13/2023,97,Female,51,Beauty,2,500,1000,33,Female,177.2,1270.54,6,66,291.37,9,4,3,223,FALSE,Responded,FALSE,both
98,4/23/2023,98,Female,55,Beauty,2,50,100,38,Male,100.01,2412.82,4,90,11.33,9,2,1,278,TRUE,Responded,FALSE,both
99,12/17/2023,99,Female,50,Electronics,4,300,1200,53,Female,110.43,1504.49,16,48,228.21,9,4,5,209,FALSE,Ignored,TRUE,both
100,6/16/2023,100,Male,41,Electronics,1,30,30,41,Male,117.21,3681.83,14,87,309.19,2,3,2,147,FALSE,Ignored,FALSE,both
101,1/29/2023,101,Male,32,Clothing,2,300,600,33,Male,136.2,3878.23,9,43,110.51,5,1,3,353,TRUE,Responded,TRUE,both
102,4/28/2023,102,Female,47,Beauty,2,25,50,31,Other,82.07,9478.35,8,23,125.7,8,4,1,82,FALSE,Ignored,TRUE,both
103,1/17/2023,103,Female,59,Clothing,1,25,25,39,Other,38.2,2714.84,12,82,41.71,8,4,1,266,TRUE,Ignored,FALSE,both
104,6/11/2023,104,Female,34,Beauty,2,500,1000,66,Female,77.31,4777.05,9,68,338.17,5,1,4,95,FALSE,Ignored,TRUE,both
105,7/25/2023,105,Female,22,Electronics,1,500,500,67,Other,50.27,8132.66,9,20,105.31,0,0,4,261,TRUE,Unsubscribed,TRUE,both
106,5/18/2023,106,Female,46,Clothing,1,50,50,23,Male,120.1,8174.61,19,47,431.93,4,1,5,173,FALSE,Unsubscribed,TRUE,both
107,2/3/2023,107,Female,21,Clothing,4,300,1200,59,Female,77.25,7528.4,6,30,381.68,8,2,2,162,FALSE,Ignored,TRUE,both
108,4/19/2023,108,Female,27,Beauty,3,25,75,53,Female,192.45,2949.55,7,69,55.55,2,4,4,144,TRUE,Unsubscribed,FALSE,both
109,10/18/2023,109,Female,34,Electronics,4,500,2000,18,Female,193.83,5000.22,6,85,283.26,9,1,5,255,FALSE,Ignored,FALSE,both
110,6/11/2023,110,Male,27,Clothing,3,300,900,49,Female,131.62,1943.49,12,31,212.13,5,4,3,195,TRUE,Responded,TRUE,both
111,4/19/2023,111,Female,34,Electronics,3,500,1500,23,Other,131.15,1965.16,16,45,391.58,0,0,2,169,FALSE,Responded,FALSE,both
112,12/2/2023,112,Male,37,Clothing,3,500,1500,48,Female,197.37,4414.83,13,80,334.47,9,4,2,145,FALSE,Responded,FALSE,both
113,9/13/2023,113,Female,41,Electronics,2,25,50,18,Male,179.71,7412.06,5,34,48.3,4,4,4,78,TRUE,Responded,FALSE,both
114,7/22/2023,114,Female,22,Beauty,4,25,100,67,Female,157.71,5313.18,4,5,491.01,3,1,2,150,FALSE,Responded,FALSE,both
115,11/26/2023,115,Male,51,Clothing,3,500,1500,68,Other,76.45,8878.16,19,84,135.89,7,0,5,332,FALSE,Ignored,FALSE,both
116,8/23/2023,116,Female,23,Clothing,1,30,30,54,Male,85.8,8326,18,38,135.22,2,2,2,82,TRUE,Ignored,TRUE,both
117,3/15/2023,117,Male,19,Electronics,2,500,1000,52,Other,56.23,412.89,13,53,159.35,2,1,1,112,TRUE,Responded,TRUE,both
118,5/16/2023,118,Female,30,Electronics,4,500,2000,66,Other,107.69,5727.35,13,65,488.27,0,1,5,58,FALSE,Ignored,FALSE,both
119,3/13/2023,119,Female,60,Clothing,3,50,150,47,Other,198.27,6130.7,1,18,403.85,0,0,5,38,TRUE,Responded,FALSE,both
120,5/7/2023,120,Male,60,Beauty,1,50,50,21,Other,184.19,9619.59,1,18,52.17,8,3,2,203,FALSE,Unsubscribed,FALSE,both
121,10/15/2023,121,Female,28,Electronics,4,50,200,52,Female,41.3,330.04,7,40,214.81,6,4,2,362,TRUE,Ignored,FALSE,both
122,10/3/2023,122,Male,64,Electronics,4,30,120,60,Other,24.53,5357.93,4,19,429.09,2,1,4,259,TRUE,Responded,TRUE,both
123,5/15/2023,123,Female,40,Electronics,2,30,60,31,Female,181.75,2127.34,10,6,181.12,5,0,1,121,FALSE,Responded,FALSE,both
124,10/27/2023,124,Male,33,Clothing,4,500,2000,66,Female,116.69,631.26,9,99,152.79,1,1,4,216,TRUE,Ignored,FALSE,both
125,8/8/2023,125,Male,48,Clothing,2,50,100,57,Other,56.03,5916.14,4,4,323.31,7,0,2,199,TRUE,Responded,FALSE,both
126,10/26/2023,126,Female,28,Clothing,3,30,90,39,Male,141.26,7748.78,11,59,190.16,9,0,1,21,FALSE,Ignored,FALSE,both
127,7/24/2023,127,Female,33,Clothing,2,25,50,27,Other,135.96,7771.17,13,1,89.19,4,2,3,21,TRUE,Unsubscribed,TRUE,both
128,7/5/2023,128,Male,25,Beauty,1,500,500,18,Other,41.98,399.86,9,36,246.8,0,0,4,190,FALSE,Ignored,TRUE,both
129,4/23/2023,129,Female,21,Beauty,2,300,600,28,Female,66.73,4128.77,7,26,407.73,3,0,2,359,TRUE,Ignored,FALSE,both
130,3/12/2023,130,Female,57,Clothing,1,500,500,68,Female,30.81,540.65,8,85,423.82,5,3,5,50,FALSE,Unsubscribed,FALSE,both
131,9/18/2023,131,Female,21,Beauty,2,300,600,61,Female,57.77,2553.6,19,94,311.67,6,4,5,326,FALSE,Unsubscribed,FALSE,both
132,9/10/2023,132,Male,42,Electronics,4,50,200,41,Female,43.82,2009.52,16,66,499.57,5,2,2,337,TRUE,Unsubscribed,FALSE,both
133,2/16/2023,133,Male,20,Electronics,3,300,900,20,Other,54.78,2230.31,5,15,492.49,5,4,3,245,FALSE,Responded,TRUE,both
134,1/25/2023,134,Male,49,Electronics,1,50,50,52,Male,143.38,3457.27,12,45,126.96,1,1,3,179,FALSE,Unsubscribed,TRUE,both
135,2/26/2023,135,Male,20,Clothing,2,25,50,53,Male,28.91,2846.44,12,5,387.75,0,2,1,208,TRUE,Ignored,TRUE,both
136,3/20/2023,136,Male,44,Electronics,2,300,600,48,Male,38.33,9626.57,13,71,100.11,7,2,5,296,FALSE,Responded,FALSE,both
137,11/18/2023,137,Male,46,Beauty,2,500,1000,21,Male,44.15,3588.83,1,18,211.59,3,0,3,274,FALSE,Responded,TRUE,both
138,3/23/2023,138,Male,49,Clothing,4,50,200,36,Female,76.98,8952.31,6,94,14.88,3,3,4,352,TRUE,Unsubscribed,TRUE,both
139,12/15/2023,139,Male,36,Beauty,4,500,2000,64,Other,73.78,1892.31,7,62,108.7,1,0,3,27,FALSE,Unsubscribed,FALSE,both
140,8/5/2023,140,Male,38,Electronics,1,30,30,53,Female,65.91,7661.09,14,57,119.57,4,3,4,30,FALSE,Unsubscribed,TRUE,both
141,11/2/2023,141,Female,22,Electronics,1,50,50,38,Female,155.1,707.32,6,2,494,8,2,5,140,FALSE,Responded,FALSE,both
142,2/2/2023,142,Male,35,Electronics,4,300,1200,35,Other,199.64,4681.34,19,17,30.41,5,2,4,231,FALSE,Unsubscribed,FALSE,both
143,7/17/2023,143,Female,45,Clothing,1,50,50,68,Other,116.12,154.55,13,67,473.47,8,3,2,322,TRUE,Unsubscribed,TRUE,both
144,7/15/2023,144,Female,59,Beauty,3,500,1500,45,Other,189.96,8121.88,15,79,420.71,6,0,4,303,TRUE,Unsubscribed,TRUE,both
145,11/2/2023,145,Female,39,Clothing,3,25,75,32,Female,91.39,9509.81,4,50,21.01,7,0,2,254,FALSE,Unsubscribed,FALSE,both
146,8/28/2023,146,Male,38,Clothing,4,50,200,59,Male,39.2,447.56,10,25,77,5,2,3,236,FALSE,Unsubscribed,TRUE,both
147,9/28/2023,147,Male,23,Electronics,1,300,300,19,Female,93.58,9345.08,6,70,318.22,0,0,2,49,FALSE,Responded,TRUE,both
148,5/9/2023,148,Male,18,Clothing,2,30,60,54,Female,73.3,7761.15,2,22,181.89,4,2,5,120,FALSE,Responded,FALSE,both
149,10/11/2023,149,Male,22,Clothing,3,25,75,28,Other,108.81,3652.73,2,9,177.27,3,2,5,231,TRUE,Ignored,TRUE,both
150,1/6/2023,150,Female,58,Electronics,4,30,120,40,Female,138.27,9097.88,1,73,351.27,8,1,4,52,TRUE,Ignored,FALSE,both
151,12/15/2023,151,Male,29,Clothing,1,50,50,61,Male,102.99,3032.95,16,34,497.43,5,3,5,4,FALSE,Ignored,FALSE,both
152,2/28/2023,152,Male,43,Electronics,4,500,2000,58,Male,188.33,4152.02,11,70,173.03,6,3,1,338,TRUE,Responded,TRUE,both
153,12/16/2023,153,Male,63,Electronics,2,500,1000,29,Female,179.26,1057.44,13,97,462.29,5,1,4,319,TRUE,Unsubscribed,TRUE,both
154,10/2/2023,154,Male,51,Electronics,3,300,900,20,Other,146.36,6603.7,14,1,366.94,5,1,1,5,FALSE,Unsubscribed,FALSE,both
155,5/17/2023,155,Male,31,Electronics,4,500,2000,69,Female,108.14,393.05,4,44,425.02,0,4,5,82,TRUE,Unsubscribed,TRUE,both
156,11/25/2023,156,Female,43,Clothing,4,25,100,34,Male,43.7,4900.56,11,7,259.33,0,2,3,227,TRUE,Ignored,TRUE,both
157,6/24/2023,157,Male,62,Electronics,4,500,2000,50,Male,91.46,6863.6,10,15,271.31,7,4,3,196,FALSE,Responded,FALSE,both
158,2/27/2023,158,Female,44,Electronics,2,300,600,18,Female,146.79,8230.25,6,38,277.77,7,2,5,50,TRUE,Ignored,FALSE,both
159,5/31/2023,159,Male,26,Clothing,4,50,200,56,Male,71.28,1584.42,14,93,286.92,8,3,3,114,FALSE,Ignored,FALSE,both
160,8/11/2023,160,Female,43,Clothing,2,50,100,37,Female,38.72,7565.49,9,81,80.78,2,4,3,148,TRUE,Ignored,TRUE,both
161,3/22/2023,161,Male,64,Beauty,2,500,1000,64,Male,183.42,7218.86,18,54,111.45,1,2,5,303,FALSE,Unsubscribed,TRUE,both
162,8/21/2023,162,Male,39,Clothing,2,30,60,60,Other,147.63,5639.75,14,30,85.33,7,3,5,339,TRUE,Unsubscribed,FALSE,both
163,1/2/2023,163,Female,64,Clothing,3,50,150,69,Male,130.75,5887.98,4,83,103.58,6,3,1,296,FALSE,Unsubscribed,FALSE,both
164,5/15/2023,164,Female,47,Beauty,3,500,1500,58,Female,162.65,1003.58,1,94,335.83,0,1,2,331,TRUE,Ignored,TRUE,both
165,9/14/2023,165,Female,60,Clothing,4,300,1200,31,Female,170.42,6044.66,15,4,111.19,0,1,1,126,FALSE,Ignored,TRUE,both
166,4/2/2023,166,Male,34,Clothing,4,500,2000,48,Other,107.02,3877.07,15,75,440.41,6,4,4,222,TRUE,Responded,TRUE,both
167,9/17/2023,167,Female,43,Clothing,3,50,150,42,Male,178.61,8689.05,7,42,68.54,5,0,4,201,TRUE,Unsubscribed,FALSE,both
168,2/24/2023,168,Male,53,Clothing,1,300,300,20,Female,184.96,3199.68,16,40,494.48,5,0,3,127,TRUE,Ignored,TRUE,both
169,11/17/2023,169,Male,18,Beauty,3,500,1500,21,Male,68.88,5808.29,6,97,10.7,7,3,4,99,FALSE,Responded,TRUE,both
170,6/2/2023,170,Female,25,Clothing,2,25,50,48,Other,129.36,4323.06,1,33,423.5,0,2,3,188,TRUE,Ignored,TRUE,both
171,11/24/2023,171,Female,52,Clothing,3,300,900,52,Female,114.79,8774.99,8,29,10.98,0,4,5,214,TRUE,Ignored,FALSE,both
172,9/17/2023,172,Male,32,Beauty,2,25,50,61,Other,116.83,2613.78,8,15,394.88,5,4,2,239,TRUE,Ignored,TRUE,both
173,11/8/2023,173,Male,64,Electronics,4,30,120,31,Female,188.78,880.14,18,96,366.55,5,4,5,6,FALSE,Responded,FALSE,both
174,4/12/2023,174,Female,39,Beauty,1,300,300,66,Male,74.93,7511.69,1,99,350.32,1,2,5,69,TRUE,Responded,FALSE,both
175,3/20/2023,175,Female,31,Electronics,4,25,100,58,Female,197.02,4187.68,16,63,181.93,5,3,5,37,FALSE,Responded,FALSE,both
176,7/11/2023,176,Female,43,Beauty,2,50,100,26,Other,182.38,5932.07,12,62,317.27,1,2,3,125,TRUE,Unsubscribed,TRUE,both
177,3/24/2023,177,Male,45,Beauty,2,50,100,37,Female,102.57,361.25,12,68,303.71,5,4,3,40,FALSE,Responded,FALSE,both
178,10/4/2023,178,Male,40,Clothing,2,30,60,49,Other,167.14,9525.89,19,14,372.37,9,2,2,119,FALSE,Unsubscribed,FALSE,both
179,9/29/2023,179,Male,31,Electronics,1,300,300,26,Female,158.43,8788.42,12,19,357.91,7,3,5,86,TRUE,Ignored,TRUE,both
180,1/1/2023,180,Male,41,Clothing,3,300,900,44,Other,142.02,6276.29,7,82,131.63,4,0,2,250,FALSE,Unsubscribed,TRUE,both
181,11/3/2023,181,Male,19,Electronics,4,300,1200,20,Male,77.57,268.6,8,62,357.7,7,4,3,165,TRUE,Responded,TRUE,both
182,6/15/2023,182,Male,62,Beauty,4,30,120,21,Female,55.36,3841.97,4,35,163.11,2,0,5,175,TRUE,Unsubscribed,FALSE,both
